Symbol,Date,Close,R3M,R6M,R9M,R12M,RS_Blend,MA_30W,MA_30W_Slope_10S_Pct,Stage,MA_10W,High_52W,Near_52W_High,Low_52W,Volume_Ratio,U_D,AvgValue20,SMA_50,Below_50DMA,Ext_Pct,Extended_20Pct,Pct_From_52W_High,Above_MA_30W,Above_MA_10W,MA10W_Above_MA30W,MA_30W_Rising,Distribution,Heavy_Distribution,Breakout,Breakout_Confirmed,SMA_150,SMA_200,SMA_200_Rising,ATR_Pct,VCP_Contractions,Contraction_Ratio,Base_Depth_Pct,Volume_DryUp,VCP_Setup,VCP_Pivot,RS_Line,RS_Line_High_52W,RS_Line_At_High,Pct_To_Pivot,RS_Score,Liquid_UI_Filter,RS_Not_Lagging,Trend_Health,TT1_Above_150_200,TT2_150_Above_200,TT3_200_Rising,TT4_50_Above_150_200,TT5_Above_50,TT6_Above_52W_Low,TT7_Near_52W_High,TT8_RS,Trend_Template_Score,Trend_Template_Pass,RS_Line_NH_Before_Price,Stage1_Readiness,Company Name,Industry,Series,ISIN Code,Action,Action_Reason
360ONE,2026-08-25,1210.0,0.05917364683234272,0.07529944853629145,0.08662853138760895,0.119441652455758,0.07994338520886878,1093.7671094920538,0.38916639011616905,Stage 2 — Advancing,1134.6941205193016,1229.0652744329707,True,900.8207868154223,0.47426608144139865,0.8263468940401802,1085378402.448822,1134.7160034179688,False,10.626840896863765,False,-1.5512011306125673,True,True,True,True,False,False,False,False,1094.0523506673178,1104.7872116088868,True,2.4025974025974026,3,0.809586491398856,13.271734858774664,0.6498485564987211,False,1222.9000244140625,0.051245998577731634,0.051245998577731634,True,1.0661177201704453,59.0,True,True,5,True,False,True,True,True,True,True,False,6,False,False,,360 ONE WAM Ltd.,Financial Services,EQ,INE466L01038,HOLD,Stage 2 + RS 59; trend/leadership is adequate without a stronger entry trigger.
3MINDIA,2026-08-26,33570.0,0.028887414437170467,-0.06580240808683058,-0.04121133822215228,0.11971637062331486,0.01409549063773459,33321.247413793106,0.16146982848375124,Stage 2 — Advancing,34529.80062806373,37487.09942436396,False,28319.862583025053,0.34483407949308215,0.6692106185928508,142285740.25,34568.6356640625,True,0.7465284330979927,False,-10.449193147811597,True,False,True,True,True,False,False,False,33312.21759114583,33662.332900390626,True,2.42137963317588,1,1.977982199178569,14.561743559723498,1.1999915172464983,False,37300.0,1.4249210972027746,1.5957972004548862,False,11.111111111111116,45.0,True,False,3,False,False,True,True,False,False,True,False,3,False,False,,3M India Ltd.,Diversified,EQ,INE470A01017,REDUCE,Stage 2 + RS 45; distribution warning (U/D 0.67) triggers REDUCE.
ABB,2026-08-25,7627.0,0.1423816375201461,0.25631933993612765,0.528123312727927,0.5191353469306457,0.3176682549269985,6670.809857930222,2.7977544517022057,Stage 2 — Advancing,7246.035184972427,7832.294844565128,True,4564.870705303207,0.5340940124119439,1.9927438122004535,2114062740.5398927,7252.169736328125,False,14.333943890381828,False,-2.6211327412882457,True,True,True,True,False,False,False,False,6616.61359375,6220.720673828125,True,1.9233169561558423,3,0.9756852997410669,15.256478182662764,0.4211572045493427,False,7832.294844565128,0.32301919929947037,0.32689961302851106,False,2.6916853882932745,86.0,True,True,5,True,True,True,True,True,True,True,True,8,True,False,,ABB India Ltd.,Capital Goods,EQ,INE117A01022,HOLD,Stage 2 + RS 86; trend/leadership is adequate without a stronger entry trigger.
ACC,2026-08-26,1331.699951171875,-0.0518155444112689,-0.16966997891843616,-0.28925158179562305,-0.2552652811509778,-0.16356358613751498,1412.2631409527505,-1.7584685529078548,Stage 4 — Declining,1350.3451047411152,1975.569036609613,False,1244.4991052892974,1.103826510888734,0.7266909790014202,214878449.78396606,1350.3520068359376,True,-5.704545239814552,False,-32.59157607282196,False,False,False,False,False,False,False,False,1419.6879207356772,1508.7813012695312,False,1.559231937164095,1,1.1850725928851682,9.04590297797511,0.6260771470192253,False,1413.9000244140625,0.05652568828027136,0.08036860726139042,False,6.172567113924776,11.0,True,False,0,False,False,False,False,False,False,False,False,0,False,False,,ACC Ltd.,Construction Materials,EQ,INE012A01025,SELL,Stage 4 takes precedence: the guide requires SELL regardless of RS.
ACMESOLAR,2026-08-26,395.95001220703125,0.3078447967201692,0.6854674582547862,0.6957596174425045,0.3871159181630377,0.4768065174601333,307.2132020715165,3.8780508748807563,Stage 2 — Advancing,372.76372453278185,411.5,False,195.72747422084996,0.5088646368042038,2.298131070164559,858367547.2951416,373.58299926757815,False,28.884439059639643,True,-3.7788548707092917,True,True,True,True,False,False,False,False,304.46345275878906,286.1454946136475,True,3.385169117024473,2,0.6668547790186289,20.534629404617256,1.1509531917959561,False,411.5,0.016806598922594427,0.017401937069613464,False,3.9272603393273986,92.0,True,True,5,True,True,True,True,True,True,True,True,8,True,False,,ACME Solar Holdings Ltd.,Power,EQ,INE622W01025,WAIT,"Stage 2 + RS 92; wait because price is more than 20% above the 30-week line (currently +29%) — the guide treats that as poor entry timing, not a failed trend."
AIAENG,2026-08-25,4267.39990234375,0.07415421110924636,0.09082073459734863,0.11551428632695071,0.38821341702354295,0.148571372033267,4193.950351899246,0.8262834287351861,Stage 2 — Advancing,4658.37841796875,5180.0,False,2985.486170743132,0.3061405404276344,0.9113764958376691,267734307.82683104,4661.71798828125,True,1.751321410165052,False,-17.617762503016408,True,False,True,True,False,False,False,False,4179.591339518229,4088.121005859375,True,3.561550339344835,2,0.8595437646543266,18.05019305019305,0.7017432183731583,False,5180.0,0.18073319779018174,0.22097221935568148,False,21.3853896644425,69.0,True,True,4,True,True,True,True,False,True,True,False,6,False,False,,AIA Engineering Ltd.,Capital Goods,EQ,INE212H01026,HOLD,Stage 2 + RS 69; trend/leadership is adequate without a stronger entry trigger.
APLAPOLLO,2026-08-25,2139.300048828125,0.12677766582605354,-0.040930711391995556,0.25959727866005555,0.300328295842887,0.1545100389526108,1967.2691759083368,0.586454410792081,Stage 2 — Advancing,1896.835298426011,2301.39990234375,False,1578.0,1.0557507683064158,1.8584105519141405,1441346639.6356568,1897.9320043945313,False,8.744653503776734,False,-7.043532649434036,True,True,False,True,False,False,False,False,1966.5466642252604,1928.860498046875,True,2.0096690125801437,3,1.445054786744673,19.45416346387538,0.7527485656823368,False,2172.800048828125,0.09060377459470025,0.09731586051187452,False,1.5659327460096462,70.0,True,True,4,True,True,True,False,True,True,True,True,7,False,False,,APL Apollo Tubes Ltd.,Capital Goods,EQ,INE702C01027,HOLD,Stage 2 + RS 70; trend/leadership is adequate without a stronger entry trigger.
ASKAUTOLTD,2026-08-25,605.2000122070312,0.34323756167818864,0.4228438863297257,0.27446925214752493,0.21762461695946422,0.32028257575861846,466.1534534611114,2.8487708114648624,Stage 2 — Advancing,527.2739772422641,687.7000122070312,False,373.9332517882958,0.516988591519437,5.45941030256064,1163148987.2099595,528.7286834716797,False,29.828494825796614,True,-11.996509893206674,True,True,True,True,False,False,False,False,465.24923136393227,467.2783804321289,True,4.607686686511593,1,1.5890049955265626,36.10673414799269,0.4967351588249687,False,687.7000122070312,0.02563147021884685,0.028605804607407824,False,13.631856962319056,86.0,True,True,5,True,False,True,True,True,True,True,True,7,False,False,,ASK Automotive Ltd.,Automobile and Auto Components,EQ,INE491J01022,WAIT,"Stage 2 + RS 86; wait because price is more than 20% above the 30-week line (currently +30%) — the guide treats that as poor entry timing, not a failed trend."
AUBANK,2026-08-25,1128.5999755859375,0.13048731809153802,0.15028614103227245,0.196648474994902,0.5070651029774487,0.22299487103753984,999.9011113415025,0.7000850524310209,Stage 2 — Advancing,1050.541211894914,1144.0999755859375,True,681.4882278715522,3.105433852861001,3.4171369663817193,1948819828.5221252,1051.1098889160157,False,12.87115923611366,False,-1.3547767092698226,True,True,True,True,False,False,True,True,999.630117594401,990.5597048950195,True,2.098681709510383,3,1.1743957620147536,16.172656316329984,1.040027406037475,False,1144.0999755859375,0.04779853945760736,0.04779853945760736,True,1.3733829820395727,77.0,True,True,5,True,True,True,True,True,True,True,True,8,True,False,,AU Small Finance Bank Ltd.,Financial Services,EQ,INE949L01017,WAIT,"Stage 2 + RS 77; wait because a breakout without leadership is not an entry: RS needs 80, short by 3."
AWL,2026-08-26,201.89999389648438,0.05125192774014398,0.0715098236919014,-0.23195954560198084,-0.19446440603755466,-0.050482054493469236,191.11910038778225,-0.5653593649421529,Stage 3 — Topping,189.46870512120864,281.42985528309595,False,170.3003850027749,1.1711440068173384,4.090151984295322,778012123.2397301,189.4063998413086,False,5.640929392628791,False,-28.259212693198766,True,True,False,False,False,False,False,False,191.56424224853515,204.8911393737793,False,2.447464278097307,2,1.1055047031156384,12.362077150079669,1.3007434451597024,False,204.82000732421875,0.008569900531075723,0.011664737051174908,False,1.4462672194192727,32.0,True,False,2,False,False,False,False,True,False,False,False,1,False,False,,AWL Agri Business Ltd.,Fast Moving Consumer Goods,EQ,INE699H01024,SELL,Stage 3 + RS 32; RS below 50 in Stage 3 triggers SELL.
